id,value,desc
1,100120,对在此关卡之后的普通关卡开启自动战斗
2,0,洞天挑战cd冷却时长（单位：秒）
3,0,福地挑战cd冷却时长（单位：秒）
4,3600,银角商店消失倒计时
5,3600,金角商店消失倒计时
6,1,永久开启银角商店费用（元宝）
7,1,永久开启金角商店费用（元宝）
8,20,每日秘境挑战次数上限
9,1,群魔乱舞开启一键扫荡的vip等级
10,10,群魔乱舞暴击概率
11,100,公会改名消耗元宝
12,5,金银山---刷新元宝
13,5,金银山---清除CD时间元宝
14,100,修改公会名称消耗元宝
15,300,每日公会捐献元宝上限
16,600,每日公会捐献体力上限
17,5,金银山---3星通关所需捡取BUFF数量
18,10,金银山---回合倒计时
20,0,须臾宝界材料本扫荡开启VIP等级
21,500,每个碎片转化所需银币
22,2,购买开服基金所需VIP等级
23,1000,购买开服基金所需元宝
24,7,许愿池可许愿次数
25,50,签到系统---补签功能所需元宝
26,50,触发单宝箱加倍费用
27,50,触发多宝箱额外开启费用
28,0,购买开服基金人数添加
29,3,触发单宝箱加倍倍数
30,100120,对在此关卡之后的普通关卡开启战斗加速
31,1,许愿池新玩家体验开关
32,172800,许愿池体验倒计时
33,40016,月卡奖励掉落包
34,30,月卡天数
35,30,月卡额度（元）
36,1000,神魔争霸最少参加人数设定
37,5,熔石数量不足时每个熔石的价格（元宝）
38,86400,英雄Dlc社交助战CD时间
39,1,普通重铸消耗熔石基数
40,10,高级重铸消耗熔石基数
41,3,每日普通重铸免费次数
42,3,每日拜八仙免费次数
43,50,拜八仙每次费用（元宝）
44,100,GVE复活费用
45,10,GVE复活全属性BUFF+%
46,100,秘境复活费用基数（元宝）
47,600,PVP挑战CD时间
48,50,PVP挑战CD时间消除所需元宝
49,5,PVP每日免费挑战次数
50,24,无尽迷宫探索次数上限
51,30000,无尽迷宫探索基础掉落包
52,300,无尽迷宫一键探索开启所需成就点
53,2,无尽迷宫一键探索开启所需VIP等级
54,1000,无尽迷宫每次探索基础累计金币
55,100,PVP排名XX以内激活战斗后CD倒计时
56,20007,每日PVP机器人id
57,8888,钻石红包掉落包
58,259200,7天排行活动结束后延迟结束时间
59,86400,7天排行活动预告开启提前时间
60,9998,首次失败时引导掉落包
61,7777,每日PVP基础奖励掉落包
62,30,每日PVP复活时间
63,50,每日PVP复活所需钻石
64,5,黄金城周日防守方每次失败损失身上宝藏比例
65,500,黄金城周日进攻方抢夺1点宝藏对应金币
66,50,黄金城周日进攻方抢夺1点宝藏对应水晶
67,5000,道馆集训普通进修消耗（水晶）
68,50,道馆集训高级进修消耗（钻石）
69,40017,普通月卡每日可领取掉落包（25元）
70,250,普通月卡购买后即可获得（25元）
71,40018,尊贵月卡每日可领取掉落包（50元） 
72,500,尊贵月卡购买即可获得（50元）
73,40019,普通周卡每日可领取掉落包（25元）
74,250,普通周卡购买后即可获得（25元）
75,40020,尊贵周卡每日可领取掉落包（50元） 
76,500,尊贵周卡购买即可获得（50元）
77,2880,幻影之塔派驻时间
78,10,植树节摇一摇每日免费次数
79,30,植树节摇一摇每日总次数
80,50,植树节摇一摇付费所需消耗钻石
81,5,植树节每日浇水次数
82,600,植树节浇水CD时间
83,5,植树节每日除虫次数
84,600,植树节除虫CD时间
85,2400,植树节每次浇水清除时间
86,2400,植树节每次除虫清除时间
87,500,315复活费用基数（元宝）
